CBSACode,MetroName,GroupCode,GroupName,Congregations,Adherents,Adherents_percent_of_Total_Adherents,Adherents_percent_of_Population
16300,Cedar Rapids IA Metro Area,443,United Church of Christ,7,1413,1.14,0.51
16300,Cedar Rapids IA Metro Area,FGN,United Church of God,1,,,
16300,Cedar Rapids IA Metro Area,449,United Methodist Church,40,14500,11.66,5.24
16300,Cedar Rapids IA Metro Area,454,United Pentecostal Church International,3,,,
16300,Cedar Rapids IA Metro Area,124,Unity Churches Association of,1,,,
16300,Cedar Rapids IA Metro Area,462,Vedanta Society,1,,,
16300,Cedar Rapids IA Metro Area,179,Venture Church Network,3,,,
16300,Cedar Rapids IA Metro Area,467,Wesleyan Church,2,321,0.26,0.12
16300,Cedar Rapids IA Metro Area,469,Wisconsin Evangelical Lutheran Synod,1,267,0.21,0.10
16340,Cedartown GA Micro Area,003,African Methodist Episcopal Church,1,202,0.74,0.47
16340,Cedartown GA Micro Area,053,Assemblies of God,1,70,0.26,0.16
16340,Cedartown GA Micro Area,056,"Baha'i Faith USA",0,6,0.02,0.01
16340,Cedartown GA Micro Area,081,Catholic Church,1,5090,18.69,11.88
16340,Cedartown GA Micro Area,127,Church of God (Cleveland Tennessee),2,620,2.28,1.45
16340,Cedartown GA Micro Area,145,Church of God of Prophecy,2,,,
16340,Cedartown GA Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,376,1.38,0.88
16340,Cedartown GA Micro Area,167,Churches of Christ,4,324,1.19,0.76
16340,Cedartown GA Micro Area,177,Congregational Holiness Church,1,,,
16340,Cedartown GA Micro Area,193,Episcopal Church,1,65,0.24,0.15
16340,Cedartown GA Micro Area,FFR,Full Gospel Christian Assemblies International,1,90,0.33,0.21
16340,Cedartown GA Micro Area,272,"Jehovah's Witnesses",3,580,2.13,1.35
16340,Cedartown GA Micro Area,300,"National Baptist Convention USA, Inc.",2,550,2.02,1.28
16340,Cedartown GA Micro Area,302,National Missionary Baptist Convention Inc.,3,1050,3.86,2.45
16340,Cedartown GA Micro Area,500,Non-denominational Christian Churches,8,2172,7.98,5.07
16340,Cedartown GA Micro Area,355,Presbyterian Church (U.S.A.),2,188,0.69,0.44
16340,Cedartown GA Micro Area,356,Presbyterian Church in America,1,35,0.13,0.08
16340,Cedartown GA Micro Area,413,Seventh-day Adventist Church,2,112,0.41,0.26
16340,Cedartown GA Micro Area,419,Southern Baptist Convention,35,14640,53.77,34.16
16340,Cedartown GA Micro Area,449,United Methodist Church,6,1057,3.88,2.47
16340,Cedartown GA Micro Area,454,United Pentecostal Church International,1,,,
16380,Celina OH Micro Area,031,Amish Groups undifferentiated,7,153,0.46,0.36
16380,Celina OH Micro Area,056,"Baha'i Faith USA",0,10,0.03,0.02
16380,Celina OH Micro Area,081,Catholic Church,22,22244,67.43,52.30
16380,Celina OH Micro Area,097,Christian Churches and Churches of Christ,1,126,0.38,0.30
16380,Celina OH Micro Area,127,Church of God (Cleveland Tennessee),1,106,0.32,0.25
16380,Celina OH Micro Area,157,Church of the Brethren,1,40,0.12,0.09
16380,Celina OH Micro Area,165,Church of the Nazarene,2,323,0.98,0.76
16380,Celina OH Micro Area,438,Church of the United Brethren in Christ USA,1,324,0.98,0.76
16380,Celina OH Micro Area,171,Churches of God General Conference,4,652,1.98,1.53
16380,Celina OH Micro Area,207,Evangelical Lutheran Church in America,4,1450,4.40,3.41
16380,Celina OH Micro Area,225,Friends United Meeting,1,3,0.01,0.01
16380,Celina OH Micro Area,272,"Jehovah's Witnesses",1,116,0.35,0.27
16380,Celina OH Micro Area,291,Missionary Church,1,106,0.32,0.25
16380,Celina OH Micro Area,302,National Missionary Baptist Convention Inc.,2,450,1.36,1.06
16380,Celina OH Micro Area,500,Non-denominational Christian Churches,9,4430,13.43,10.42
16380,Celina OH Micro Area,314,North American Lutheran Church,2,,,
16380,Celina OH Micro Area,355,Presbyterian Church (U.S.A.),1,78,0.24,0.18
16380,Celina OH Micro Area,419,Southern Baptist Convention,1,94,0.28,0.22
16380,Celina OH Micro Area,443,United Church of Christ,1,293,0.89,0.69
16380,Celina OH Micro Area,449,United Methodist Church,12,1989,6.03,4.68
16380,Celina OH Micro Area,454,United Pentecostal Church International,2,,,
16420,Central City KY Micro Area,005,African Methodist Episcopal Zion Church,2,292,1.27,0.94
16420,Central City KY Micro Area,053,Assemblies of God,2,97,0.42,0.31
16420,Central City KY Micro Area,056,"Baha'i Faith USA",0,1,0.00,0.00
16420,Central City KY Micro Area,081,Catholic Church,1,363,1.58,1.17
16420,Central City KY Micro Area,093,Christian Church (Disciples of Christ),1,54,0.24,0.17
16420,Central City KY Micro Area,097,Christian Churches and Churches of Christ,2,243,1.06,0.79
16420,Central City KY Micro Area,127,Church of God (Cleveland Tennessee),3,304,1.33,0.98
16420,Central City KY Micro Area,145,Church of God of Prophecy,2,,,
16420,Central City KY Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,360,1.57,1.16
16420,Central City KY Micro Area,167,Churches of Christ,9,723,3.16,2.34
16420,Central City KY Micro Area,185,Cumberland Presbyterian,3,277,1.21,0.90
16420,Central City KY Micro Area,231,General Association of General Baptists,1,260,1.13,0.84
16420,Central City KY Micro Area,272,"Jehovah's Witnesses",1,148,0.65,0.48
16420,Central City KY Micro Area,302,National Missionary Baptist Convention Inc.,3,350,1.53,1.13
16420,Central City KY Micro Area,500,Non-denominational Christian Churches,1,220,0.96,0.71
16420,Central City KY Micro Area,355,Presbyterian Church (U.S.A.),4,77,0.34,0.25
16420,Central City KY Micro Area,413,Seventh-day Adventist Church,1,46,0.20,0.15
16420,Central City KY Micro Area,419,Southern Baptist Convention,48,17609,76.85,56.94
16420,Central City KY Micro Area,449,United Methodist Church,11,1482,6.47,4.79
16420,Central City KY Micro Area,454,United Pentecostal Church International,2,,,
16420,Central City KY Micro Area,FJ3,Weaverland Mennonite Conference,0,7,0.03,0.02
16460,Centralia IL Micro Area,005,African Methodist Episcopal Zion Church,1,76,0.39,0.20
16460,Centralia IL Micro Area,019,American Baptist Churches in the USA,1,97,0.50,0.26
16460,Centralia IL Micro Area,031,Amish Groups undifferentiated,2,86,0.44,0.23
16460,Centralia IL Micro Area,053,Assemblies of God,3,149,0.77,0.39
16460,Centralia IL Micro Area,056,"Baha'i Faith USA",0,7,0.04,0.02
16460,Centralia IL Micro Area,081,Catholic Church,4,1935,10.00,5.13
16460,Centralia IL Micro Area,093,Christian Church (Disciples of Christ),1,0,0.00,0.00
16460,Centralia IL Micro Area,097,Christian Churches and Churches of Christ,13,3311,17.11,8.78
16460,Centralia IL Micro Area,123,Church of God (Anderson Indiana),2,110,0.57,0.29
16460,Centralia IL Micro Area,127,Church of God (Cleveland Tennessee),2,185,0.96,0.49
16460,Centralia IL Micro Area,151,Church of Jesus Christ of Latter-day Saints,1,336,1.74,0.89
16460,Centralia IL Micro Area,157,Church of the Brethren,1,34,0.18,0.09
16460,Centralia IL Micro Area,165,Church of the Nazarene,1,1207,6.24,3.20
16460,Centralia IL Micro Area,167,Churches of Christ,6,373,1.93,0.99
16460,Centralia IL Micro Area,173,Community of Christ,2,,,
16460,Centralia IL Micro Area,286,Eastern Pennsylvania Mennonite Church,1,124,0.64,0.33
16460,Centralia IL Micro Area,193,Episcopal Church,2,39,0.20,0.10
16460,Centralia IL Micro Area,207,Evangelical Lutheran Church in America,1,24,0.12,0.06
16460,Centralia IL Micro Area,216,Evangelical Presbyterian Church,1,,,
16460,Centralia IL Micro Area,221,Free Methodist Church--USA,1,33,0.17,0.09
16460,Centralia IL Micro Area,272,"Jehovah's Witnesses",1,68,0.35,0.18
16460,Centralia IL Micro Area,283,Lutheran Church--Missouri Synod,3,1409,7.28,3.73
16460,Centralia IL Micro Area,267,Muslim Estimate,1,30,0.16,0.08
16460,Centralia IL Micro Area,223,National Association of Free Will Baptists,2,191,0.99,0.51
16460,Centralia IL Micro Area,302,National Missionary Baptist Convention Inc.,2,590,3.05,1.56
16460,Centralia IL Micro Area,500,Non-denominational Christian Churches,6,2540,13.12,6.73
16460,Centralia IL Micro Area,355,Presbyterian Church (U.S.A.),3,193,1.00,0.51
16460,Centralia IL Micro Area,413,Seventh-day Adventist Church,1,38,0.20,0.10
16460,Centralia IL Micro Area,419,Southern Baptist Convention,21,4526,23.39,12.00
16460,Centralia IL Micro Area,443,United Church of Christ,2,194,1.00,0.51
16460,Centralia IL Micro Area,449,United Methodist Church,14,1449,7.49,3.84
16460,Centralia IL Micro Area,454,United Pentecostal Church International,4,,,
16500,Centralia WA Micro Area,019,American Baptist Churches in the USA,1,283,0.94,0.34
16500,Centralia WA Micro Area,042,Apostolic Faith Mission of Portland OR,1,,,
16500,Centralia WA Micro Area,053,Assemblies of God,17,3904,12.96,4.75
16500,Centralia WA Micro Area,056,"Baha'i Faith USA",1,54,0.18,0.07
16500,Centralia WA Micro Area,084,Calvary Chapel Fellowship Churches,1,,,
16500,Centralia WA Micro Area,081,Catholic Church,4,6731,22.34,8.19
16500,Centralia WA Micro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
16500,Centralia WA Micro Area,097,Christian Churches and Churches of Christ,2,361,1.20,0.44
16500,Centralia WA Micro Area,123,Church of God (Anderson Indiana),3,1148,3.81,1.40
16500,Centralia WA Micro Area,127,Church of God (Cleveland Tennessee),1,61,0.20,0.07
16500,Centralia WA Micro Area,151,Church of Jesus Christ of Latter-day Saints,5,2625,8.71,3.20
16500,Centralia WA Micro Area,157,Church of the Brethren,1,112,0.37,0.14
16500,Centralia WA Micro Area,165,Church of the Nazarene,2,744,2.47,0.91
16500,Centralia WA Micro Area,167,Churches of Christ,2,140,0.46,0.17
16500,Centralia WA Micro Area,173,Community of Christ,1,,,
16500,Centralia WA Micro Area,193,Episcopal Church,1,110,0.37,0.13
16500,Centralia WA Micro Area,197,Evangelical Church The,1,40,0.13,0.05
16500,Centralia WA Micro Area,203,Evangelical Free Church of America,1,,,
16500,Centralia WA Micro Area,207,Evangelical Lutheran Church in America,3,657,2.18,0.80
16500,Centralia WA Micro Area,216,Evangelical Presbyterian Church,1,,,
16500,Centralia WA Micro Area,263,Foursquare Gospel International Church of the,3,382,1.27,0.47
16500,Centralia WA Micro Area,FFR,Full Gospel Christian Assemblies International,2,70,0.23,0.09
16500,Centralia WA Micro Area,272,"Jehovah's Witnesses",4,974,3.23,1.19
16500,Centralia WA Micro Area,283,Lutheran Church--Missouri Synod,1,407,1.35,0.50
16500,Centralia WA Micro Area,255,Lutheran Congregations in Mission for Christ,1,56,0.19,0.07
16500,Centralia WA Micro Area,302,National Missionary Baptist Convention Inc.,1,150,0.50,0.18
16500,Centralia WA Micro Area,500,Non-denominational Christian Churches,13,7340,24.36,8.93
16500,Centralia WA Micro Area,329,Open Bible Churches,1,20,0.07,0.02
16500,Centralia WA Micro Area,339,Pentecostal Church of God,1,,,
16500,Centralia WA Micro Area,355,Presbyterian Church (U.S.A.),5,415,1.38,0.51
16500,Centralia WA Micro Area,403,Salvation Army,1,73,0.24,0.09
16500,Centralia WA Micro Area,413,Seventh-day Adventist Church,6,1254,4.16,1.53
16500,Centralia WA Micro Area,419,Southern Baptist Convention,5,1010,3.35,1.23
16500,Centralia WA Micro Area,891,Theravada Buddhist,1,289,0.96,0.35
16500,Centralia WA Micro Area,449,United Methodist Church,7,719,2.39,0.88
16500,Centralia WA Micro Area,124,Unity Churches Association of,1,,,
16540,Chambersburg-Waynesboro PA Metro Area,003,African Methodist Episcopal Church,5,832,1.63,0.53
16540,Chambersburg-Waynesboro PA Metro Area,005,African Methodist Episcopal Zion Church,2,206,0.40,0.13
16540,Chambersburg-Waynesboro PA Metro Area,017,American Baptist Association,2,202,0.39,0.13
16540,Chambersburg-Waynesboro PA Metro Area,031,Amish Groups undifferentiated,9,1328,2.60,0.85
16540,Chambersburg-Waynesboro PA Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,100,0.20,0.06
16540,Chambersburg-Waynesboro PA Metro Area,053,Assemblies of God,11,2070,4.05,1.33
16540,Chambersburg-Waynesboro PA Metro Area,056,"Baha'i Faith USA",0,13,0.03,0.01
16540,Chambersburg-Waynesboro PA Metro Area,FHW,Biblical Mennonite Alliance,1,98,0.19,0.06
16540,Chambersburg-Waynesboro PA Metro Area,071,"Brethren Church The (Ashland, Ohio)",1,,,
16540,Chambersburg-Waynesboro PA Metro Area,075,Brethren In Christ Church,15,,,
16540,Chambersburg-Waynesboro PA Metro Area,081,Catholic Church,4,8707,17.02,5.58
16540,Chambersburg-Waynesboro PA Metro Area,244,Charis Fellowship,3,,,
16540,Chambersburg-Waynesboro PA Metro Area,089,Christian and Missionary Alliance,3,313,0.61,0.20
16540,Chambersburg-Waynesboro PA Metro Area,353,Christian Brethren (Open Plymouth Brethren),3,,,
16540,Chambersburg-Waynesboro PA Metro Area,097,Christian Churches and Churches of Christ,1,84,0.16,0.05
16540,Chambersburg-Waynesboro PA Metro Area,127,Church of God (Cleveland Tennessee),6,1069,2.09,0.69
16540,Chambersburg-Waynesboro PA Metro Area,141,Church of God in Christ,1,120,0.23,0.08
16540,Chambersburg-Waynesboro PA Metro Area,151,Church of Jesus Christ of Latter-day Saints,3,1422,2.78,0.91
16540,Chambersburg-Waynesboro PA Metro Area,157,Church of the Brethren,6,888,1.74,0.57
16540,Chambersburg-Waynesboro PA Metro Area,165,Church of the Nazarene,1,60,0.12,0.04
16540,Chambersburg-Waynesboro PA Metro Area,438,Church of the United Brethren in Christ USA,13,2634,5.15,1.69
16540,Chambersburg-Waynesboro PA Metro Area,167,Churches of Christ,1,26,0.05,0.02
16540,Chambersburg-Waynesboro PA Metro Area,171,Churches of God General Conference,6,1568,3.07,1.01
16540,Chambersburg-Waynesboro PA Metro Area,183,Conservative Mennonite Conference,2,230,0.45,0.15
16540,Chambersburg-Waynesboro PA Metro Area,057,Converge Worldwide / Baptist General Conference,1,,,
16540,Chambersburg-Waynesboro PA Metro Area,FDW,Cumberland Valley Mennonite Church,3,292,0.57,0.19
16540,Chambersburg-Waynesboro PA Metro Area,FFT,Dunkard Brethren Church,1,106,0.21,0.07
16540,Chambersburg-Waynesboro PA Metro Area,286,Eastern Pennsylvania Mennonite Church,2,406,0.79,0.26
16540,Chambersburg-Waynesboro PA Metro Area,FFW,ECO: A Covenant Order of Presbyterians,3,,,
16540,Chambersburg-Waynesboro PA Metro Area,193,Episcopal Church,4,439,0.86,0.28
16540,Chambersburg-Waynesboro PA Metro Area,198,Evangelical Association of Reformed and Congregational Christian Churches,2,,,
16540,Chambersburg-Waynesboro PA Metro Area,203,Evangelical Free Church of America,1,,,
16540,Chambersburg-Waynesboro PA Metro Area,207,Evangelical Lutheran Church in America,17,3595,7.03,2.31
16540,Chambersburg-Waynesboro PA Metro Area,FFF,Evangelical Lutheran Conference and Ministerium of North America,1,,,
16540,Chambersburg-Waynesboro PA Metro Area,263,Foursquare Gospel International Church of the,1,66,0.13,0.04
16540,Chambersburg-Waynesboro PA Metro Area,391,Friends General Conference,1,29,0.06,0.02
16540,Chambersburg-Waynesboro PA Metro Area,FHK,Independent Conservative Brethren,1,38,0.07,0.02
16540,Chambersburg-Waynesboro PA Metro Area,272,"Jehovah's Witnesses",2,618,1.21,0.40
16540,Chambersburg-Waynesboro PA Metro Area,282,Mennonite Christian Fellowship,1,99,0.19,0.06
16540,Chambersburg-Waynesboro PA Metro Area,F31,Nationwide Fellowship Mennonite Churches,1,97,0.19,0.06
16540,Chambersburg-Waynesboro PA Metro Area,500,Non-denominational Christian Churches,36,10334,20.20,6.63
16540,Chambersburg-Waynesboro PA Metro Area,FF2,Old German Baptist Brethren,4,764,1.49,0.49
16540,Chambersburg-Waynesboro PA Metro Area,F35,Old German Baptist Brethren New Conference,1,107,0.21,0.07
16540,Chambersburg-Waynesboro PA Metro Area,324,Old Order River Brethren,2,389,0.76,0.25
16540,Chambersburg-Waynesboro PA Metro Area,F38,Pilgrim Mennonite Conference,1,152,0.30,0.10
16540,Chambersburg-Waynesboro PA Metro Area,355,Presbyterian Church (U.S.A.),5,1416,2.77,0.91
16540,Chambersburg-Waynesboro PA Metro Area,356,Presbyterian Church in America,1,61,0.12,0.04
16540,Chambersburg-Waynesboro PA Metro Area,403,Salvation Army,1,78,0.15,0.05
16540,Chambersburg-Waynesboro PA Metro Area,413,Seventh-day Adventist Church,4,548,1.07,0.35
16540,Chambersburg-Waynesboro PA Metro Area,419,Southern Baptist Convention,5,433,0.85,0.28
16540,Chambersburg-Waynesboro PA Metro Area,FHF,Unaffiliated Conservative Mennonite,6,553,1.08,0.35
16540,Chambersburg-Waynesboro PA Metro Area,443,United Church of Christ,10,1282,2.51,0.82
16540,Chambersburg-Waynesboro PA Metro Area,449,United Methodist Church,33,6741,13.18,4.32
16540,Chambersburg-Waynesboro PA Metro Area,454,United Pentecostal Church International,1,,,
16540,Chambersburg-Waynesboro PA Metro Area,FD7,Washington-Franklin Mennonite Conference,2,468,0.91,0.30
16540,Chambersburg-Waynesboro PA Metro Area,FJ3,Weaverland Mennonite Conference,0,67,0.13,0.04
16580,Champaign-Urbana IL Metro Area,003,African Methodist Episcopal Church,1,300,0.34,0.13
16580,Champaign-Urbana IL Metro Area,019,American Baptist Churches in the USA,5,1180,1.34,0.53
16580,Champaign-Urbana IL Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,130,0.15,0.06
16580,Champaign-Urbana IL Metro Area,040,Apostolic Christian Church of America,1,141,0.16,0.06
16580,Champaign-Urbana IL Metro Area,053,Assemblies of God,4,4604,5.24,2.07
16580,Champaign-Urbana IL Metro Area,220,Association of Free Lutheran Congregations,1,816,0.93,0.37
16580,Champaign-Urbana IL Metro Area,056,"Baha'i Faith USA",2,133,0.15,0.06
16580,Champaign-Urbana IL Metro Area,071,"Brethren Church The (Ashland, Ohio)",1,,,
16580,Champaign-Urbana IL Metro Area,081,Catholic Church,16,24867,28.33,11.17
16580,Champaign-Urbana IL Metro Area,FGS,Chabad Judaism,1,,,
16580,Champaign-Urbana IL Metro Area,087,Christadelphian,1,,,
16580,Champaign-Urbana IL Metro Area,089,Christian and Missionary Alliance,1,21,0.02,0.01
16580,Champaign-Urbana IL Metro Area,353,Christian Brethren (Open Plymouth Brethren),1,,,
16580,Champaign-Urbana IL Metro Area,093,Christian Church (Disciples of Christ),4,311,0.35,0.14
16580,Champaign-Urbana IL Metro Area,097,Christian Churches and Churches of Christ,12,4481,5.10,2.01
16580,Champaign-Urbana IL Metro Area,101,Christian Methodist Episcopal Church,1,160,0.18,0.07
16580,Champaign-Urbana IL Metro Area,105,Christian Reformed Church in North America,2,42,0.05,0.02
16580,Champaign-Urbana IL Metro Area,111,Church of Christ Scientist,1,,,
16580,Champaign-Urbana IL Metro Area,123,Church of God (Anderson Indiana),1,30,0.03,0.01
16580,Champaign-Urbana IL Metro Area,127,Church of God (Cleveland Tennessee),1,416,0.47,0.19
16580,Champaign-Urbana IL Metro Area,141,Church of God in Christ,4,428,0.49,0.19
16580,Champaign-Urbana IL Metro Area,151,Church of Jesus Christ of Latter-day Saints,5,2520,2.87,1.13
16580,Champaign-Urbana IL Metro Area,157,Church of the Brethren,3,237,0.27,0.11
16580,Champaign-Urbana IL Metro Area,165,Church of the Nazarene,6,463,0.53,0.21
16580,Champaign-Urbana IL Metro Area,167,Churches of Christ,5,514,0.59,0.23
16580,Champaign-Urbana IL Metro Area,171,Churches of God General Conference,1,123,0.14,0.06
16580,Champaign-Urbana IL Metro Area,186,Coptic Orthodox Church,1,94,0.11,0.04
16580,Champaign-Urbana IL Metro Area,193,Episcopal Church,3,652,0.74,0.29
16580,Champaign-Urbana IL Metro Area,203,Evangelical Free Church of America,1,,,
16580,Champaign-Urbana IL Metro Area,207,Evangelical Lutheran Church in America,6,2262,2.58,1.02
16580,Champaign-Urbana IL Metro Area,213,Fellowship of Evangelical Churches,3,292,0.33,0.13
16580,Champaign-Urbana IL Metro Area,263,Foursquare Gospel International Church of the,3,270,0.31,0.12
16580,Champaign-Urbana IL Metro Area,221,Free Methodist Church--USA,1,195,0.22,0.09
16580,Champaign-Urbana IL Metro Area,391,Friends General Conference,1,152,0.17,0.07
16580,Champaign-Urbana IL Metro Area,388,General Association of Regular Baptist Churches,1,,,
16580,Champaign-Urbana IL Metro Area,246,Greek Orthodox Archdiocese of America,1,200,0.23,0.09
16580,Champaign-Urbana IL Metro Area,895,Hindu Temples,1,494,0.56,0.22
16580,Champaign-Urbana IL Metro Area,896,Hindu Yoga and Meditation,1,118,0.13,0.05
16580,Champaign-Urbana IL Metro Area,264,International Churches of Christ,1,278,0.32,0.12
16580,Champaign-Urbana IL Metro Area,272,"Jehovah's Witnesses",4,786,0.90,0.35
16580,Champaign-Urbana IL Metro Area,283,Lutheran Church--Missouri Synod,9,2927,3.33,1.32
16580,Champaign-Urbana IL Metro Area,890,Mahayana Buddhist,1,30,0.03,0.01
16580,Champaign-Urbana IL Metro Area,288,Mennonite Church USA,1,210,0.24,0.09
16580,Champaign-Urbana IL Metro Area,267,Muslim Estimate,1,1121,1.28,0.50
16580,Champaign-Urbana IL Metro Area,223,National Association of Free Will Baptists,1,92,0.10,0.04
16580,Champaign-Urbana IL Metro Area,300,"National Baptist Convention USA, Inc.",1,800,0.91,0.36
16580,Champaign-Urbana IL Metro Area,302,National Missionary Baptist Convention Inc.,8,3142,3.58,1.41
16580,Champaign-Urbana IL Metro Area,500,Non-denominational Christian Churches,22,13990,15.94,6.29
16580,Champaign-Urbana IL Metro Area,314,North American Lutheran Church,6,,,
16580,Champaign-Urbana IL Metro Area,276,Orthodox Judaism,1,60,0.07,0.03
16580,Champaign-Urbana IL Metro Area,355,Presbyterian Church (U.S.A.),10,1805,2.06,0.81
16580,Champaign-Urbana IL Metro Area,356,Presbyterian Church in America,1,128,0.15,0.06
16580,Champaign-Urbana IL Metro Area,271,Reform Judaism,1,770,0.88,0.35
16580,Champaign-Urbana IL Metro Area,403,Salvation Army,1,76,0.09,0.03
16580,Champaign-Urbana IL Metro Area,413,Seventh-day Adventist Church,4,237,0.27,0.11
16580,Champaign-Urbana IL Metro Area,419,Southern Baptist Convention,12,1489,1.70,0.67
16580,Champaign-Urbana IL Metro Area,F54,The local churches,1,,,
16580,Champaign-Urbana IL Metro Area,891,Theravada Buddhist,1,17,0.02,0.01
16580,Champaign-Urbana IL Metro Area,435,Unitarian Universalist Association of Congregations,1,518,0.59,0.23
16580,Champaign-Urbana IL Metro Area,443,United Church of Christ,3,769,0.88,0.35
16580,Champaign-Urbana IL Metro Area,449,United Methodist Church,35,8220,9.36,3.69
16580,Champaign-Urbana IL Metro Area,454,United Pentecostal Church International,5,,,
16580,Champaign-Urbana IL Metro Area,124,Unity Churches Association of,1,,,
16580,Champaign-Urbana IL Metro Area,179,Venture Church Network,1,,,
16580,Champaign-Urbana IL Metro Area,463,Vineyard USA,1,3600,4.10,1.62
16580,Champaign-Urbana IL Metro Area,467,Wesleyan Church,1,39,0.04,0.02
16580,Champaign-Urbana IL Metro Area,469,Wisconsin Evangelical Lutheran Synod,1,31,0.04,0.01
16620,Charleston WV Metro Area,001,Advent Christian Church,15,384,0.39,0.15
16620,Charleston WV Metro Area,003,African Methodist Episcopal Church,3,498,0.51,0.19
16620,Charleston WV Metro Area,005,African Methodist Episcopal Zion Church,1,126,0.13,0.05
16620,Charleston WV Metro Area,019,American Baptist Churches in the USA,54,12748,13.02,4.92
16620,Charleston WV Metro Area,033,Anglican Church in North America,1,,,
16620,Charleston WV Metro Area,034,Antiochian Orthodox Christian Archdiocese of North America The,1,500,0.51,0.19
16620,Charleston WV Metro Area,053,Assemblies of God,13,934,0.95,0.36
16620,Charleston WV Metro Area,056,"Baha'i Faith USA",1,164,0.17,0.06
16620,Charleston WV Metro Area,081,Catholic Church,12,8829,9.02,3.41
16620,Charleston WV Metro Area,089,Christian and Missionary Alliance,1,23,0.02,0.01
16620,Charleston WV Metro Area,093,Christian Church (Disciples of Christ),2,315,0.32,0.12
16620,Charleston WV Metro Area,097,Christian Churches and Churches of Christ,5,1436,1.47,0.55
16620,Charleston WV Metro Area,F53,Church of God,1,,,
16620,Charleston WV Metro Area,123,Church of God (Anderson Indiana),20,2316,2.37,0.89
16620,Charleston WV Metro Area,127,Church of God (Cleveland Tennessee),20,1181,1.21,0.46
16620,Charleston WV Metro Area,141,Church of God in Christ,5,914,0.93,0.35
16620,Charleston WV Metro Area,145,Church of God of Prophecy,5,,,
16620,Charleston WV Metro Area,151,Church of Jesus Christ of Latter-day Saints,4,2255,2.30,0.87
16620,Charleston WV Metro Area,165,Church of the Nazarene,37,4778,4.88,1.85
16620,Charleston WV Metro Area,167,Churches of Christ,48,3322,3.39,1.28
16620,Charleston WV Metro Area,171,Churches of God General Conference,2,71,0.07,0.03
16620,Charleston WV Metro Area,270,Conservative Judaism,1,405,0.41,0.16
16620,Charleston WV Metro Area,186,Coptic Orthodox Church,1,200,0.20,0.08
16620,Charleston WV Metro Area,193,Episcopal Church,7,1212,1.24,0.47
16620,Charleston WV Metro Area,207,Evangelical Lutheran Church in America,2,423,0.43,0.16
16620,Charleston WV Metro Area,216,Evangelical Presbyterian Church,1,,,
16620,Charleston WV Metro Area,391,Friends General Conference,1,18,0.02,0.01
16620,Charleston WV Metro Area,FFR,Full Gospel Christian Assemblies International,2,270,0.28,0.10
16620,Charleston WV Metro Area,388,General Association of Regular Baptist Churches,2,,,
16620,Charleston WV Metro Area,246,Greek Orthodox Archdiocese of America,1,59,0.06,0.02
16620,Charleston WV Metro Area,FGD,Higher Ground Always Abounding Assemblies,2,,,
16620,Charleston WV Metro Area,264,International Churches of Christ,1,59,0.06,0.02
16620,Charleston WV Metro Area,272,"Jehovah's Witnesses",5,1068,1.09,0.41
16620,Charleston WV Metro Area,283,Lutheran Church--Missouri Synod,1,151,0.15,0.06
16620,Charleston WV Metro Area,255,Lutheran Congregations in Mission for Christ,1,250,0.26,0.10
16620,Charleston WV Metro Area,267,Muslim Estimate,1,91,0.09,0.04
16620,Charleston WV Metro Area,223,National Association of Free Will Baptists,30,1396,1.43,0.54
16620,Charleston WV Metro Area,300,"National Baptist Convention USA, Inc.",6,2760,2.82,1.07
16620,Charleston WV Metro Area,302,National Missionary Baptist Convention Inc.,24,4510,4.61,1.74
16620,Charleston WV Metro Area,500,Non-denominational Christian Churches,53,24450,24.97,9.45
16620,Charleston WV Metro Area,276,Orthodox Judaism,1,120,0.12,0.05
16620,Charleston WV Metro Area,339,Pentecostal Church of God,2,,,
16620,Charleston WV Metro Area,355,Presbyterian Church (U.S.A.),23,2632,2.69,1.02
16620,Charleston WV Metro Area,356,Presbyterian Church in America,3,143,0.15,0.06
16620,Charleston WV Metro Area,271,Reform Judaism,1,289,0.30,0.11
16620,Charleston WV Metro Area,403,Salvation Army,1,118,0.12,0.05
16620,Charleston WV Metro Area,413,Seventh-day Adventist Church,3,291,0.30,0.11
16620,Charleston WV Metro Area,419,Southern Baptist Convention,26,2561,2.62,0.99
16620,Charleston WV Metro Area,FD6,Unaffiliated Conservative Mennonite (Grandview fellowship),1,45,0.05,0.02
16620,Charleston WV Metro Area,435,Unitarian Universalist Association of Congregations,1,111,0.11,0.04
16620,Charleston WV Metro Area,443,United Church of Christ,1,51,0.05,0.02
16620,Charleston WV Metro Area,449,United Methodist Church,79,13284,13.57,5.13
16620,Charleston WV Metro Area,454,United Pentecostal Church International,12,,,
16620,Charleston WV Metro Area,124,Unity Churches Association of,1,,,
16620,Charleston WV Metro Area,467,Wesleyan Church,3,145,0.15,0.06
16660,Charleston-Mattoon IL Micro Area,019,American Baptist Churches in the USA,3,775,2.97,1.35
16660,Charleston-Mattoon IL Micro Area,031,Amish Groups undifferentiated,5,594,2.28,1.04
16660,Charleston-Mattoon IL Micro Area,053,Assemblies of God,4,1160,4.45,2.02
